startup,title,Location,Founded,Investment,Management,Segment,description,Website,facebook,instagram,linkedin,twitter,xing,youtube
 Loopline Systems, Lightweight Cloud Solution For Managing Performance Reviews,Berlin (Germany),2014,Series A,"Nora Heer, Christian Kaller",SaaS,"Loopline Systems offers a lightweight SaaS solution which is easy to implement and provides ongoing, actionable insights for executives and employees by linking data on performance with personal potential and contentment. By means of guided processes, loopline fosters individual commitment, enabling high-quality feedback and development. The Berlin-based company was founded in 2014. The founders Nora Heer and Christian Kaller were no strangers to the challenges attached to setting up a top notch performance-development tool for the enterprise market on the organizational and individual level: Combining more than ten years of HR experience with a background in entrepreneurial, technology-driven companies as well as leading corporations. In startups and small companies loopline drives professional maturing of HR, while dynamizing performance development in larger organizations.",www.loopline-systems.com/de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Metrigo, Data-Driven Solutions For Display Advertising Campaigns,Hamburg (Germany),2011,Series A Exited in November 2013 to Zanox,"Tobias Schlottke, Christian Müller, Philip Westermeyer",Advertising Technology & Consumer Data,"Metrigo provides custom-made, innovative and data-driven solutions for direct response driven display advertising campaigns. metrigo’s proprietary Demand Side Platform (DSP) includes Data Management, Real Time Bidding and Ad Serving. It allows its customers to reach quantitative conversion and objectives via display advertising, with a focus on prospecting.",metrigo.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 micropsi industries, Machine learning for industrial robots,Berlin,2014,Series A,"Dominik Welland, Joscha Bach, Priska Herger, Ronnie Vuine, Ulrik Deichsel",Robotics Software,"A robotics software company headquartered in Germany, micropsi industries is driving the future of industrial automation. Its unique control system, Mirai, applies artificial intelligence technologies to create flexible, real- time controlled robotic applications for use in dynamic environments and execute complex tasks. Mirai learns by rehearsing movements from humans guiding the robot and trains them within hours vs. days of creating complicated programming that other systems require. Its technology is designed for global electronics assembly and manufacturing industries and works with hardware platforms such as ABB and Universal Robots. To learn more, please visit micropsi-industries.com.",www.micropsi-industries.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Minodes, Data Analysis For Offline Retailers,Berlin (Germany),2013,Seed (Exited in May 2017 to Telefónica NEXT),"Tim Wegner, Alexander Köth",Advertising Technology & Consumer Data,"Minodes is an innovative SaaS solution for retail stores to increase sales performance and sustainably improve customer's shopping experience. Retailers may use the platform in various ways, for example to measure and optimize marketing campaigns and shop window designs, or develop targeted, location-based marketing activities. The Minodes campaign tool allows retailers to act directly upon the generated insights. Minodes GmbH was founded in 2013, based in Berlin, the Managing Directors are Tim Wegner and Alexander Köth.",www.minodes.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 misterb&b, The Largest Gay Hotelier In The  World,"Paris, Los Angeles, Lima",2014,Series A,"Matthieu Jost, Marc Dedonder, François de Landes, Chris Sinton",Travel,"Founded in 2014 by Matthieu Jost, Marc Dedonder, François de Landes and Chris Sinton, misterb&b is the world’s largest marketplace connecting like-minded travellers and hosts in the LGBT community. They are able to list, discover and book welcoming accommodations worldwide with 100,000 hosts in over 135 countries. misterb&b will further pursue its global approach to bringing gay men and women together in real-life experiences while expanding its operations in Paris, Los Angeles and Lima. misterb&b’s free app is available on iOS, Android and the web.",www.misterbandb.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 natue, Online Shop For Wellness And Health Products,São Paulo (Brazil),2012,Seed,"Priscila Capellato, Fabio Katayama",E-commerce,"Natue is an e-commerce with a wide portfolio of wellness and health products, such as supplements, sports nutrition, natural cosmetics, nutricosmetics, slimming products and vitamins. The mission is to be the place to be for people who look for a healthy lifestyle. Founded in December 2012 by a doctor, Fabio Katayama, and an economist, Priscila Capellato. Natue hence offers an individualized buying assistance by nutritionists and a very rich level of information about each product.",www.natue.com.br/de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 nu3, Nutrition From Berlin,Berlin (Germany),2011,Seed,"Dr. Robert Sünderhauf, Kassian Ortner",E-commerce,"The Berlin-based startup stands for smart nutrition. nu3 creates products that make a healthy and balanced lifestyle very easy. Whether it’s a healthy diet, reaching personal fitness goals or losing weight, nu3 combines efficacy with great taste from the best ingredients to enable you to succeed. The company was founded in 2011, and is headed-up by the managing directors Dr. Robert Sünderhauf and Kassian Ortner. nu3 has online shops in Germany, Austria, Switzerland and France, and also offers an international shop on www.nu3.com",www.nu3.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Onlineprinters, High Quality Online Printed Products,Neustadt/Aisch (Germany),2004,Later Stage Acceleration,"Michael Fries, Christian Würst",E-Commerce,"Onlineprinters GmbH is one of Europe's leading online print providers. In line with the motto ""Print simply online!"" the company sells printed products to 500,000 customers in 30 European countries through its 15 web shops. Internationally, the company is known under the brand name ""Onlineprinters""; in Germany it operates under the name ""diedruckerei.de"". The product range comprises 1,400 printed products from business cards, stationery and flyers to catalogues, brochures and large-format advertising systems. The formula to successfully produce customised prints in terms of Industry 4.0 rests on three pillars: online sales, fully integrated production from ordering to shipping and gang run printing. The latter uses so-called combined forms to collectively produce print jobs, therefore minimising costs and reducing the environmental impact. Selected products allow customers to choose the option of same day printing (produced on the same working day), overnight delivery, climate neutral production and custom size specification. Onlineprinters GmbH employs a staff of 600 and produces over two billion printings per year.",www.diedruckerei.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Opinary, Making Opinions Matter,Berlin / New York,2015,Series A,"Cornelius Frey, Max Meran, Pia Frey",MarTech,Opinary is a Berlin-based startup that has established a new way for users to share their opinions in online content. The startup was founded 2015 by the siblings Pia and Cornelius Frey and their Co-Founder Max Meran to help more than 70 million monthly users to share their view with a tap and understand opinion trends at a glance.,www.opinary.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Peergrade, Learn by giving feedback,Copenhagen,2015,Seed,"David Kofoed Wind, Malthe Jørgensen, Simon Lind",EducationTech,"Peergrade is an EdTech startup that gives students a better learning experience with faster and more thorough feedback from their peers. Peer grading offers a way to dramatically reduce the time teachers spent on grading while increasing the quantity of the feedback. Students hand in their work and give feedback to each other. This way students get much more feedback without extra work for the teachers.Through their platform teachers can also get insights into student performance over time based on data. Most importantly, reading and providing feedback on other's assignments is an excellent learning opportunity.Based in Copenhagen, Peergrade was founded in 2015 by David Kofoed Wind, Malthe Jørgensen, and Simon Lind.",www.peergrade.io,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 PETS DELI, Fresh And Natural Pet Food For Cats And Dogs,Berlin (Germany),2014,Seed,David Fuchs,Marketplaces & e-commerce,"Pets Deli, the Berlin-based multichannel pet food brand, has the mission to deliver fresh and healthy pet food for caring pet owners. All products, like basic food, supplements, snacks and dried meat, are 100% food-grade quality, natural and species-appropriate. Besides their webshop, Pets Deli runs two stationary shops in Berlin. The company was founded in January 2014 by David Spanier and David Reinecke.",www.petsdeli.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 ProCompra, B2B Lead Generation Platform,São Paulo (Brazil),2014,Seed,"David Lira, Rafael Catole",Marketplaces,"ProCompra is a marketplace connecting providers and buyers of premium services & products with the mission to facilitate purchase decisions for SMEs in Brazil. As a B2B lead generation platform, ProCompra provides buyers with three offers from independent local suppliers. This allows more qualified purchasing decision. ProCompra was founded in September 2014 as an incubation project of Project A Ventures Latam.",,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Qunomedical, Medical Treatments abroad,Berlin,2015,Seed,Dr. Sophie Chung and Gero Graf,Marketplaces & E-Commerce,Qunomedical is a medical travel provider that helps patients worldwide to find high-quality care abroad at an affordable price. The Berlin-based startup was founded in 2015 and enables patients to get offers from clinics for almost any kind of treatment and to choose the most suitable offer with ease. The company only cooperates with renowned clinics and hospitals which adhere to the highest certification standards and which are highly experienced in dealing with international patients. Qunomedical’s passionate team of experts is led by Doctor Sophie Chung.,www.qunomedical.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Saatchi Art, The World's Leading Online Art Gallery,Los Angeles (US),2006,Series B,Saatchi Gallery London,E-commerce,"Saatchi Art is the world’s leading online art gallery, connecting people with art and artists they love. Saatchi Art offers an unparalleled selection of paintings, drawings, sculpture and photography in a range of prices, and it provides artists from around the world with an expertly curated environment in which to exhibit and sell their work. Saatchi Art is redefining the experience of buying and selling art by making it easy, convenient and welcoming for both collectors and artists.",www.saatchiart.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Semasio, User Intelligent Platform For Data-Driven Advertising,Hamburg (Germany),2010,Venture Round,"Kasper Skou (CEO), Thomas Rask Thomsen (CTO)",Advertising Technology & Consumer Data,"Semasio GmbH develops and markets a SaaS platform that turns every contact an agency or advertiser has with internet users into profile data. Based on these data, the platform generates target groups for specific marketing goals. The profiling and target group generation processes rely solely on statistical modeling and machine learning. Founded in 2010 the company is headquartered in Hamburg with development centers in Denmark and Portugal. Semasio’s customers include large media and performance agencies.",www.semasio.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 sennder, Logistics for Full Truck Loads,Berlin,2015,Series A,"Julius Köhler, David Nothacker, Nicolaus Schefenacker",Logistics,"sennder GmbH is a digital road-freight-forwarder, headquartered in Berlin. The company connects shippers with carriers through an inhouse developed platform. Offering its partners a 360° full service, sennder’s software provides real time bookings as well as precise live tracking, resulting in greater transparency of the logistics supply chain.sennder was founded in 2015 by Nicolaus Schefenacker, David Nothacker, and Julius Köhler.",www.sennder.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Spryker Systems, E-Commerce Technology For Category Leaders,Germany: Hamburg & Berlin,2014,Joint Venture,"Alexander Graf, Nils Seebach, Boris Lokschin, Fabian Wesner",E-Commerce Enabling Technologies,"Spryker Systems provides the proprietary commerce framework Spryker, a customizable and scalable solution for corporations. The company was founded in November 2014 by Nils Seebach and Alexander Graf as a Joint Venture with Project A Ventures. Based on PHP architecture and with its modular approach, Spryker enables retailers to quickly adapt, scale and innovate their digital business. Individual requirements can easily be integrated in order to meet customer needs, including data driven approaches in the fields of Business Intelligence, CRM, and Online Marketing. Spryker has been developed under the leadership of Project A's CTO Fabian Wesner as well as co-founder and Managing Director Dr. Florian Heinemann. The framework has been deployed for numerous successful e-commerce businesses such as Tirendo, nu3 or Contorion.",www.spryker.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 store2be," Targeted, Measurable And Scalable Live Communication",Berlin (Germany),2015,Seed,"Dr. Marlon Braumann, Peter Gundel, Emil Kabisch und Sven Wissebach",E-Commerce & Marketplaces,"store2be provides companies and agencies interested in advertising their goods or services with the possibility to book measurable and scalable live communication directed precisely at target groups. With a couple of clicks, spaces for advertisements and promotional actions in shopping centres and at independent retailers, institutes of higher education, cinemas and events can be leased temporarily on store2be.com. In addition, store2be offers the possibility to book additional services such as help with setting up stands, logistical assistance or even personnel. All of the important elements for successful live communication can thus be obtained all in one convenient package from a single provider. In the process, store2be makes appropriate recommendations for its customers’ needs regarding frequency and target groups. Over 1,000 spaces all across Germany are already available for booking through store2be.com today. store2be.com is managed by WHU alumni Dr. Marlon Braumann and Sven Wissebach and KIT graduates Emil Kabisch and Peter Gundel. store2be was founded in 2015 in the context of the Karlsruhe-based incubator CyberLab and has been officially headquartered in Berlin since summer 2016.",www.store2be.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Tictail, Free DIY E-Commerce Platform,"Stockholm (Sweden), New York (US)",2011,Venture Round,"Carl Rivera, Kaj Drobin, Birk Nilson, Siavash Ghorbani",E-commerce Enabling Technologies,"Tictail is a free-to-use e-commerce platform which launched in May 2012. The startup was created by Swedish entrepreneur Carl Waldekranz and co-founders Kaj Drobin, Birk Nilson, and Siavash Ghorbani in Stockholm in May 2011. Tictail provides retailers – whether established businesses or new entrepreneurs – with all of the tools necessary to create an online store, ready to accept orders within a matter of minutes, and all for free. With no need for coding or web-design experience, Tictail lets users create a beautiful online shop through its intuitive and accessible interface, offering an extensive range of templates, layouts, and themes. Tictail’s goal is to become the most used and loved e-commerce platform globally. While the basic Tictail service is free, optional apps - for example custom domains, discount codes, analytics, and the ability to sell downloadable digital content – can be purchased, adding extra functionality as and when a business needs it. The focus is on a strong community integration, user friendly and beautiful, adaptable design, which was highlighted by Wired Magazine when they named Tictail as one Europe’s hottest startups in 2012.",tictail.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Tirendo, E-Commerce For Tires And Car Parts,Berlin (Germany),,Seed Exited in September 2013 to Delticom (€50 million),,E-commerce,"The Tirendo Holding GmbH is an European online tire dealer and car accessories shop. In order to always offer the best service, Tirendo relies on a dynamic team of experienced industry experts, Internet professionals and tire specialists. The goal is to provide customers a novel and straightforward buying experience with professionalism, passion and innovation as well as excellent value for money. The main focus is on quality, speed and on competent customer service.",www.tirendo.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Toroleo, Free Price Comparison For Car Parts,Berlin (Germany),2012,Seed Sold to Delticom in  August 2014,Manuel Hinz,E-commerce,"Toroleo is a free product and price comparison website for car parts, car accessories and car services. The platform enables users to compare products across all price and quality levels in a clear and comfortable way. After choosing the favorite retailer, products can be directly ordered in a suitable partner shop. Toroleo provides its customers with an independent and transparent market overview.",www.reifen.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Trade Republic, Germany's first mobile and commission-free broker,Berlin,2015,Series A,"Christian Hecker, Thomas Pischke, Marco Cancellieri",Fintech,"Trade Republic Bank is Germany’s first mobile-only and commission-free broker. Users only pay a fee of 1 euro per transaction for the external settlement. The Berlin fintech’s app provides fast, mobile account opening, intuitive search and filter functions, a personal timeline as well as extended trading hours from 7:30 am to 11 pm. Investors can trade more than 6,500 German and international stocks as well as over 500 ETFs on indexes, commodities and currencies commission-free. Stock price quality is supervised by the Hamburg stock exchange. Spreads are bound to the reference market XETRA (Deutsche Börse) when applicable. In addition, around 40,000 HSBC Germany derivatives based on indexes, currencies and commodities can be traded commission-free. With its cutting-edge technology, Trade Republic realizes cost advantages and passes them onto its customers: no commission fees, no account fee, no negative interest rates – just a flat rate of 1 euro per trade for third-party fees. Trade Republic cooperates with renowned partners like HSBC and solarisBank. Trade Republic Bank holds a German banking license and is supervised by the Bundesbank as well as the Federal Financial Supervisory Authority (BaFin). The Berlin-based company was founded in 2015 by Christian Hecker, Thomas Pischke and Marco Cancellieri. In January 2019, Trade Republic was the first German broker to launch mobile-only and permanently commission-free stock trading. Trade Republic’s investors include venture capital investors Creandum and Project A as well as sino AG.",https://traderepublic.com/,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Treatwell, Marketplace For Hair And Beauty Treatments,Amsterdam (The Netherlands),,Series A Exited in June 2015 to Wahanda (€ 34 million),,Marketplaces,"With over 2,500 connected spas and salons in more than 50 cities in The Netherlands, Belgium and Germany, Treatwell is the biggest and fastest growing online marketplace for hair and beauty services in Continental Europe. The company was established by five co-founders, went live in October 2013, and has seen month-on-month growth of 20%. Treatwell allows consumers to search, compare and book treatments via its website or app, and offers spas and salons a free lightweight SaaS solution to help support new and loyal customers in their user experience.",www.treatwell.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 trendtours, Travelling done right for best agers,"Frankfurt am Main, Germany",2004,succession arrangement,David Firle and Christian Holz,Travel,"trendtours is one of the leading German direct tour operators. The company offers air, bus and boat trips as well as cure, adventure and recreational holidays and caters to an older target group aged 55 and above. So far these offers are used by approximately 400,000 customers per year.  Project A, together with Bregal, invested and thus arranged the succession of the founder Werner Scheidel. As an operative co-investor, Project A will support the business of trendtours especially in the digital transformation of the company.",https://www.trendtours.de/,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 uberall, Increasing A Company's Presence In Online Directories,Berlin (Germany),2012,Advertising Technology & Consumer Data,"David Federhen, Florian Hübner",,"Uberall is a global leader in location marketing technology. Its flagship Location Marketing Cloud platform empowers the world’s biggest brands to connect with their customers and turn online interactions into offline sales. Uberall gives businesses central control of their digital presence and online reputation, enabling them to easily manage brand interactions in real-time on all digital platforms—mobile, voice and desktop—across websites, mobile apps, store locators, search engines, maps, social platforms, and advertising networks. The Location Marketing Cloud provides a consistent, accurate digital brand footprint that helps businesses capture new customers and maximize revenue for every location. Uberall is headquartered in Berlin, with additional offices in San Francisco, London, Paris, Amsterdam, and Cape Town. Its clients include Fortune 500 companies and industry leaders from all over the world.",www.uberall.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 VOI, Shared electric scooters for Europe’s streets,Stockholm,2018,Series A,"Fredrik Hjelm, Douglas Stark, Adam Jafer, Filip Lindvall",Shared electromobility,"Voi is a Swedish e-scooter startup creating a system of electrically powered scooters around urban centers. The company's goal is to provide an affordable, sustainable, and exhilarating way to commute while helping people to reduce their carbon footprint and cities to have a more sustainable transportation network.",https://www.voiscooters.com/,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Wine in Black, Curated Premium Wines,Berlin (Germany),2011,Series A,"Stephan Linden, Christian Fricke",E-commerce,"Wine in Black is a startup with an innovative online wine concept and belongs to the fastest growing companies in the field of wine e-commerce. In its exclusive online shop, Wine in Black offers a constantly changing assortment of premium wines, curated by experienced wine experts. Every type of wine is presented with additional information regarding quality and origin which enables the customers to find a wine for every individual taste. Wine in Black therefore facilitates easy and fast wine shopping, even for unexperienced wine lovers. The company is based in Berlin and was founded in June 2011 by Christian Hoya and Stephan Linden.",www.wine-in-black.de,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Wonderbly, Personalized Storytelling For Kids,London (UK),2012,Series A,"Asi Sharabi, Robert May (CMO)",Marketplaces & E-Commerce,"Wonderbly is a full-stack publisher that lives on the intersection of storytelling, engineering, digital and print. The company combines the power of stories with the possibilities of technology to create personalized experiences for kids. Their first personalized children’s book sold over 1.5 million times and shipped to over 150 countries. The London-based company was founded in 2012 by Asi Sharabi, David Cadji-Newby, Tal Oron and Pedro Serapicos.",www.wonderbly.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 WorldRemit, International Online Money Transfer Service,London (UK),2010,Series A,"Breon Corcoran (CEO), Ismail Ahmed (Founder, Executive Chairman)",FinTech,"WorldRemit is an online service that lets people send money to friends and family living abroad, using a computer, smartphone or tablet. It is a convenient, low-cost alternative to traditional money transfer companies that use high street agents and charge unreasonable fees. Money can be received as a bank deposit, cash pick-up, Mobile Money, or mobile airtime top-up. WorldRemit’s service is available to senders in 50 countries. It offers transfers to more than 140 destinations across Europe, Asia, Africa, Australia and the Americas.",www.worldremit.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 ZenMate, Surfing The Internet Encrypted And Securely,Berlin (Germany),2013,Seed,"Andrei Mochola, Jörn Stampehl",Software as a Service,"ZenMate is the first product by ZenGuard, a startup based in Berlin. The company wants to improve internet security for its users and make it accessible to the general public. The browser add-on ZenMate’s functionality, is similar to a VPN connection and can be added with just one click. Once installed, ZenMate encrypts browser traffic, unlocks geo-restrictions and hides the original IP in order to protect the user’s privacy and identity. Because of its easy handling and advanced functionality, the plugin provides home network, WiFi and en route security. ZenMate is available on multiple browser platforms (Chrome, Opera, Firefox), as an app (android, iOS) and desktop version (Win, Mac), and therefore offers secure protection in any situation. Under the „ZenMate“ brand there are additional products available, for example the web firewall ZenMate Pulse and the mobile security solution ZenMate Sense. Altogether this offers a complete protection portfolio to its end clients. Zenguard was founded in 2013 by CEOs Simon Specka and Markus Hänel in Manchester and belongs to the first funding round of Axel Springer’s Plug and Play programs.",www.zenmate.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
